sample,tissue,umap1,umap2,kmeans,physiotype,plate,case_id
27e24fc6-af40-4152-8424-a9d365c717d9.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.6880128,7.1378603,1,1,2403,TCGA-55-8511
28e5e6cc-60b0-4324-b05e-d05af474da90.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.4254775,7.406568,1,1,2187,TCGA-69-7978
29000c50-6667-4281-a97a-5f02cb24a8f4.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.729634,7.577095,1,2,1858,TCGA-50-6595
290ad2c0-6aeb-4eba-b3e7-fc47e8bfbdce.rna_seq.augmented_star_gene_counts.tsv,Normal,6.811222,12.307498,0,2,1858,TCGA-44-6778
2a05b2c0-f94d-4c07-889a-def7131895bd.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.2569404,8.10247,1,1,A24X,TCGA-86-A4JF
2a48ffd2-9212-48f4-a836-7572eb2feffe.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.976236,8.136459,1,2,2326,TCGA-62-8402
2a53d9f7-430a-45c5-9171-8ee65dc560dd.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.895852,4.207766,1,2,2066,TCGA-44-7667
2aef96ea-5379-4066-8df1-66218ab77425.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.7408745,7.9951344,1,2,2241,TCGA-44-8117
2b4652fb-eef5-427e-b4f0-24164c042e52.rna_seq.augmented_star_gene_counts.tsv,Normal,6.4735,11.892366,0,3,1758,TCGA-44-2665
2b99d8d7-f329-4fe6-97b5-167953311755.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.592711,9.024062,0,1,A262,TCGA-95-A4VN
2beab6d3-563d-421f-bf4a-7e1f843ec637.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.0168457,9.96094,0,2,2403,TCGA-97-8547
2e86db3a-ac57-49d2-8378-5d5e7412eff7.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.2168355,8.200389,1,1,1949,TCGA-50-6673
2f00871b-1c4a-4fe9-94f6-42493fd95841.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.2654395,9.515814,0,1,1949,TCGA-80-5607
2f03d42e-9735-4edb-87d9-ec443b7801a5.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.044523,5.237343,1,1,1858,TCGA-49-4514
2f8abb88-ae9f-4315-bcad-4263862bd11b.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.354646,8.872341,0,1,2403,TCGA-78-8660
2f93d52a-e8ab-454b-ae76-74b35cd561da.rna_seq.augmented_star_gene_counts.tsv,Normal,6.231794,11.965239,0,3,1858,TCGA-50-5935
2f966635-6a77-4205-9bab-df5940a973aa.rna_seq.augmented_star_gene_counts.tsv,Tumor,6.1130238,11.7047,0,3,2403,TCGA-91-8496
2fde57cd-97d2-492d-b37d-a4e2d43239cf.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.2121954,9.448807,0,1,1949,TCGA-55-6986
3041806b-5855-4930-aeb8-a30472658d54.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.8411378,3.9194274,1,3,A39D,TCGA-4B-A93V
30a6ea89-8eda-47cf-b336-e070fcd08740.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.8322387,10.444169,0,2,A262,TCGA-NJ-A4YI
31a238a8-4238-4d56-aac5-4769ce173664.rna_seq.augmented_star_gene_counts.tsv,Normal,6.10236,12.521304,0,2,1949,TCGA-55-6983
32248a54-89ad-43a3-aa20-1c1897cb0054.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.3989892,7.0417438,1,2,1949,TCGA-86-6851
322ff57d-60a1-45d6-a103-c953d11924f1.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.595076,9.975206,0,2,1206,TCGA-38-4628
325c7d6b-292d-46e5-85d1-785ae8a48c33.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.0387769,7.7214355,1,3,0946,TCGA-44-2659
32675d71-6f79-4b8f-ab7c-e2350b15875c.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.4350712,8.268084,1,1,A24H,TCGA-44-A47G
3289364c-0dc2-43e8-bfe2-57d25e8612e5.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.8437676,6.5478296,1,2,A41B,TCGA-73-A9RS
32dd8db9-1e43-497e-a35a-664d7d15ed60.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.6797986,8.877409,1,1,2241,TCGA-55-8091
32e5ef2b-4387-4d2c-8e62-d18b5106414f.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.208351,9.017822,0,2,1755,TCGA-73-4676
32ff57d1-3fde-461b-be45-e49365149543.rna_seq.augmented_star_gene_counts.tsv,Normal,6.6983852,12.887239,0,2,1858,TCGA-44-6145
330845b9-1d53-47af-8cb7-30ce5d30625d.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.5629919,9.087445,0,1,1206,TCGA-49-4505
3369898e-21d8-4ded-8bbc-a746b1a743ad.rna_seq.augmented_star_gene_counts.tsv,Tumor,-4.568228,8.460643,2,1,A278,TCGA-44-6775
33e0a8b2-3e7e-46da-b5ef-76463308d3b9.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.27343,7.4583397,1,2,0946,TCGA-44-2662
34774d7b-1184-4b5f-b6a9-e16c428ca7ce.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.037562,5.79801,1,1,2241,TCGA-86-8076
34d64c67-b35b-418e-a7b2-759804876762.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.85183,4.9046454,1,1,1949,TCGA-91-6849
35a9d225-0988-4e31-9a39-d54f3a63bea8.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.1668093,7.6232076,1,1,A39D,TCGA-L9-A743
35fc369e-6f16-415b-badb-380eedb2157b.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.0124228,3.939873,1,1,2039,TCGA-78-7161
36280315-a32b-4743-8a78-82bbfd116b82.rna_seq.augmented_star_gene_counts.tsv,Normal,6.9385457,12.872603,0,2,1858,TCGA-49-4512
367864dd-ccd2-473e-9661-6ff4342a4e64.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.236521,8.022644,1,1,1755,TCGA-73-4658
36db1d28-8a10-46cc-91ef-d5036aaba9c3.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.9153719,4.335023,1,1,1206,TCGA-05-4432
36f81494-52c4-49db-9dba-26a0c2de2e8e.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.5947735,8.864449,0,1,2241,TCGA-99-8025
38fbb0e8-cd18-425d-becf-791c8e8a8911.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.2297187,9.317008,0,1,A39D,TCGA-49-AAQV
39807893-979e-44c6-ada9-444c68b863c3.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.5832503,7.2937074,1,2,A262,TCGA-MP-A4T4
39af4940-aeba-4d26-96fc-68da8663bc81.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.6364894,4.0284057,1,2,1206,TCGA-49-4486
3a284d39-2913-4d8c-b46a-9b1e991cfd0b.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.703871,6.5321064,1,3,A262,TCGA-NJ-A4YF
3a8b14d9-c521-48d4-9400-074d752afe1b.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.722514,4.1384335,1,1,A24X,TCGA-MP-A4T8
3b21349a-ee41-45bf-87de-19b6cda494d5.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.7343237,3.9609993,1,1,2187,TCGA-69-7973
3b286ed4-51bd-4a1e-9eab-b0ee9adf3b72.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.9065866,3.9736488,1,1,1949,TCGA-80-5608
3b5d9bee-5e4f-4afc-b297-2f072ef18a93.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.5850234,4.3224583,1,1,2066,TCGA-44-7671
3c6fdcc9-916b-4ec2-be58-1dd15e7d94a2.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.4667253,9.303177,0,1,A24X,TCGA-MP-A4T9
3ce23908-d2b9-42b0-a409-5fbd767496c2.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.090964,5.1943474,1,2,1858,TCGA-49-6742
3d006e45-8ebf-4ba1-b003-13b711c0d0ee.rna_seq.augmented_star_gene_counts.tsv,Tumor,-0.33677784,7.368071,1,2,2066,TCGA-78-7540
3d11905a-16eb-40b2-a36b-e37dca6359d3.rna_seq.augmented_star_gene_counts.tsv,Tumor,-4.780955,8.48064,2,2,A277,TCGA-44-2662
3db0576d-969f-4cb6-9e5d-51407b953ef4.rna_seq.augmented_star_gene_counts.tsv,Normal,6.172135,12.576562,0,2,1949,TCGA-55-6986
3dbeacde-e4f1-443a-b34e-28c44acce88c.rna_seq.augmented_star_gene_counts.tsv,Normal,6.3691516,12.225317,0,3,1858,TCGA-91-6836
3ddd596f-b02f-4b51-a837-3c684437600f.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.1570864,10.331242,0,1,1628,TCGA-05-5423
3dde8e24-6a2b-49ab-b4df-c058f18a3851.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.7331362,4.216483,1,2,2066,TCGA-78-7536
3e08ac76-9fba-40cf-8743-e2e1fb14f067.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.00312,8.21445,0,3,1755,TCGA-50-6594
3e5fa22c-f02a-4da4-881c-6aa2869058c1.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.7909176,4.7874336,1,1,2287,TCGA-86-8281
3f579bea-4481-42cd-b433-4f4ff65cf7b0.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.58396,7.513107,1,1,1107,TCGA-44-3918
3f79d678-e5d5-443e-a7df-187c2acd2b2c.rna_seq.augmented_star_gene_counts.tsv,Tumor,0.7323754,7.9065957,1,1,1755,TCGA-44-6148
3f7a9aee-2d10-4426-855b-de9a48b278ce.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.21919,6.6432934,1,2,1206,TCGA-05-4395
40386f32-719d-480f-9ba7-57e1eea23b30.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.2477055,10.7584095,0,1,A24H,TCGA-91-A4BD
404aadcc-cb30-4dba-b2b3-efd573cd9ffe.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.6035037,10.728042,0,2,2241,TCGA-55-8087
4102816c-2ab8-4ecb-83b0-4f78c052bcd8.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.9713674,9.297173,0,1,1755,TCGA-55-6543
41fde338-9254-4ad2-9806-d7864c2d038e.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.798529,9.227907,0,1,A24X,TCGA-MP-A4SY
42ecec5f-f097-4d86-a9d9-cf0507b08c42.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.1701384,9.63384,0,1,2241,TCGA-55-8097
